MSA,Health Spending,stat,N,year
*all MSAs,151,0.25,534860,2003
*all MSAs,746,0.5,534860,2003
*all MSAs,2545,0.75,534860,2003
*all MSAs,6800,0.9,534860,2003
*all MSAs,3033,mean,534860,2003
*all MSAs,158,0.25,772394,2004
*all MSAs,804,0.5,772394,2004
*all MSAs,2771,0.75,772394,2004
*all MSAs,7345,0.9,772394,2004
*all MSAs,3267,mean,772394,2004
*all MSAs,183,0.25,922332,2005
*all MSAs,863,0.5,922332,2005
*all MSAs,2933,0.75,922332,2005
*all MSAs,7724,0.9,922332,2005
*all MSAs,3480,mean,922332,2005
*all MSAs,194,0.25,1042519,2006
*all MSAs,916,0.5,1042519,2006
*all MSAs,3088,0.75,1042519,2006
*all MSAs,8156,0.9,1042519,2006
*all MSAs,3701,mean,1042519,2006
*all MSAs,216,0.25,1096241,2007
*all MSAs,969,0.5,1096241,2007
*all MSAs,3190,0.75,1096241,2007
*all MSAs,8481,0.9,1096241,2007
*all MSAs,3841,mean,1096241,2007
*all MSAs,225,0.25,1329526,2008
*all MSAs,995,0.5,1329526,2008
*all MSAs,3311,0.75,1329526,2008
*all MSAs,8929,0.9,1329526,2008
*all MSAs,4061,mean,1329526,2008
*all MSAs,264,0.25,1419914,2009
*all MSAs,1084,0.5,1419914,2009
*all MSAs,3532,0.75,1419914,2009
*all MSAs,9521,0.9,1419914,2009
*all MSAs,4352,mean,1419914,2009
*all MSAs,248,0.25,1502097,2010
*all MSAs,1058,0.5,1502097,2010
*all MSAs,3496,0.75,1502097,2010
*all MSAs,9630,0.9,1502097,2010
*all MSAs,4460,mean,1502097,2010
*all MSAs,255,0.25,1524786,2011
*all MSAs,1064,0.5,1524786,2011
*all MSAs,3522,0.75,1524786,2011
*all MSAs,9858,0.9,1524786,2011
*all MSAs,4616,mean,1524786,2011
*all MSAs,255,0.25,1561290,2012
*all MSAs,1063,0.5,1561290,2012
*all MSAs,3535,0.75,1561290,2012
*all MSAs,10102,0.9,1561290,2012
*all MSAs,4736,mean,1561290,2012
*all MSAs,258,0.25,1571360,2013
*all MSAs,1050,0.5,1571360,2013
*all MSAs,3536,0.75,1571360,2013
*all MSAs,10387,0.9,1571360,2013
*all MSAs,4906,mean,1571360,2013
*all MSAs,260,0.25,15183210,2014
*all MSAs,1050,0.5,15183210,2014
*all MSAs,3587,0.75,15183210,2014
*all MSAs,10754,0.9,15183210,2014
*all MSAs,5176,mean,15183210,2014
*all MSAs,261,0.25,14773169,2015
*all MSAs,1062,0.5,14773169,2015
*all MSAs,3691,0.75,14773169,2015
*all MSAs,11197,0.9,14773169,2015
*all MSAs,5413,mean,14773169,2015
*all MSAs,258,0.25,15294319,2016
*all MSAs,1044,0.5,15294319,2016
*all MSAs,3660,0.75,15294319,2016
*all MSAs,11358,0.9,15294319,2016
*all MSAs,5525,mean,15294319,2016
"Abilene, TX",148,0.25,69,2003
"Abilene, TX",1936,0.75,69,2003
"Abilene, TX",1766,mean,69,2003
"Abilene, TX",661,0.5,69,2003
"Abilene, TX",4055,0.9,69,2003
"Abilene, TX",2068,0.75,107,2004
"Abilene, TX",454,0.5,107,2004
"Abilene, TX",46,0.25,107,2004
"Abilene, TX",6391,0.9,107,2004
"Abilene, TX",2071,mean,107,2004
"Abilene, TX",3011,0.75,165,2005
"Abilene, TX",3163,mean,165,2005
"Abilene, TX",710,0.5,165,2005
"Abilene, TX",136,0.25,165,2005
"Abilene, TX",7786,0.9,165,2005
"Abilene, TX",3510,mean,181,2006
"Abilene, TX",155,0.25,181,2006
"Abilene, TX",9914,0.9,181,2006
"Abilene, TX",990,0.5,181,2006
"Abilene, TX",3622,0.75,181,2006
"Abilene, TX",3760,0.75,185,2007
"Abilene, TX",3555,mean,185,2007
"Abilene, TX",861,0.5,185,2007
"Abilene, TX",116,0.25,185,2007
"Abilene, TX",10595,0.9,185,2007
"Abilene, TX",3126,0.75,228,2008
"Abilene, TX",1068,0.5,228,2008
"Abilene, TX",8215,0.9,228,2008
"Abilene, TX",176,0.25,228,2008
"Abilene, TX",4071,mean,228,2008
"Abilene, TX",9460,0.9,277,2009
"Abilene, TX",3546,0.75,277,2009
"Abilene, TX",4370,mean,277,2009
"Abilene, TX",266,0.25,277,2009
"Abilene, TX",1058,0.5,277,2009
"Abilene, TX",11348,0.9,367,2010
"Abilene, TX",1040,0.5,367,2010
"Abilene, TX",6614,mean,367,2010
"Abilene, TX",3744,0.75,367,2010
"Abilene, TX",221,0.25,367,2010
"Abilene, TX",6129,mean,365,2011
"Abilene, TX",200,0.25,365,2011
"Abilene, TX",12112,0.9,365,2011
"Abilene, TX",1035,0.5,365,2011
"Abilene, TX",4720,0.75,365,2011
"Abilene, TX",3971,0.75,346,2012
"Abilene, TX",13476,0.9,346,2012
"Abilene, TX",5213,mean,346,2012
"Abilene, TX",206,0.25,346,2012
"Abilene, TX",923,0.5,346,2012
"Abilene, TX",5073,mean,348,2013
"Abilene, TX",1079,0.5,348,2013
"Abilene, TX",221,0.25,348,2013
"Abilene, TX",12074,0.9,348,2013
"Abilene, TX",4630,0.75,348,2013
"Abilene, TX",142,0.25,3520,2014
"Abilene, TX",3265,0.75,3520,2014
"Abilene, TX",11143,0.9,3520,2014
"Abilene, TX",828,0.5,3520,2014
"Abilene, TX",6505,mean,3520,2014
"Abilene, TX",5334,mean,3481,2015
"Abilene, TX",144,0.25,3481,2015
"Abilene, TX",10934,0.9,3481,2015
"Abilene, TX",3373,0.75,3481,2015
"Abilene, TX",799,0.5,3481,2015
"Abilene, TX",5565,mean,3963,2016
"Abilene, TX",134,0.25,3963,2016
"Abilene, TX",3339,0.75,3963,2016
"Abilene, TX",11016,0.9,3963,2016
"Abilene, TX",770,0.5,3963,2016
"Akron, OH",158,0.25,1468,2003
"Akron, OH",747,0.5,1468,2003
"Akron, OH",5996,0.9,1468,2003
"Akron, OH",2292,0.75,1468,2003
"Akron, OH",2714,mean,1468,2003
"Akron, OH",2702,0.75,2328,2004
"Akron, OH",6504,0.9,2328,2004
"Akron, OH",2817,mean,2328,2004
"Akron, OH",134,0.25,2328,2004
"Akron, OH",747,0.5,2328,2004
"Akron, OH",169,0.25,2983,2005
"Akron, OH",3256,mean,2983,2005
"Akron, OH",786,0.5,2983,2005
"Akron, OH",6790,0.9,2983,2005
"Akron, OH",2759,0.75,2983,2005
"Akron, OH",7596,0.9,3208,2006
"Akron, OH",2876,0.75,3208,2006
"Akron, OH",3607,mean,3208,2006
"Akron, OH",846,0.5,3208,2006
"Akron, OH",175,0.25,3208,2006
"Akron, OH",194,0.25,3082,2007
"Akron, OH",3660,mean,3082,2007
"Akron, OH",926,0.5,3082,2007
"Akron, OH",7676,0.9,3082,2007
"Akron, OH",3162,0.75,3082,2007
"Akron, OH",3313,0.75,3260,2008
"Akron, OH",197,0.25,3260,2008
"Akron, OH",8795,0.9,3260,2008
"Akron, OH",983,0.5,3260,2008
"Akron, OH",4170,mean,3260,2008
"Akron, OH",9364,0.9,3778,2009
"Akron, OH",3764,0.75,3778,2009
"Akron, OH",1177,0.5,3778,2009
"Akron, OH",4531,mean,3778,2009
"Akron, OH",262,0.25,3778,2009
"Akron, OH",9251,0.9,3785,2010
"Akron, OH",264,0.25,3785,2010
"Akron, OH",4363,mean,3785,2010
"Akron, OH",3692,0.75,3785,2010
"Akron, OH",1192,0.5,3785,2010
"Akron, OH",3647,0.75,4127,2011
"Akron, OH",4475,mean,4127,2011
"Akron, OH",266,0.25,4127,2011
"Akron, OH",1148,0.5,4127,2011
"Akron, OH",9052,0.9,4127,2011
"Akron, OH",4590,mean,4053,2012
"Akron, OH",9403,0.9,4053,2012
"Akron, OH",3652,0.75,4053,2012
"Akron, OH",1135,0.5,4053,2012
"Akron, OH",249,0.25,4053,2012
"Akron, OH",276,0.25,4064,2013
"Akron, OH",5179,mean,4064,2013
"Akron, OH",3922,0.75,4064,2013
"Akron, OH",10807,0.9,4064,2013
"Akron, OH",1153,0.5,4064,2013
"Akron, OH",1052,0.5,34086,2014
"Akron, OH",224,0.25,34086,2014
"Akron, OH",3629,0.75,34086,2014
"Akron, OH",10152,0.9,34086,2014
"Akron, OH",4780,mean,34086,2014
"Akron, OH",1090,0.5,29224,2015
"Akron, OH",10967,0.9,29224,2015
"Akron, OH",5289,mean,29224,2015
"Akron, OH",235,0.25,29224,2015
"Akron, OH",3840,0.75,29224,2015
"Akron, OH",249,0.25,28949,2016
"Akron, OH",1084,0.5,28949,2016
"Akron, OH",5793,mean,28949,2016
"Akron, OH",11337,0.9,28949,2016
"Akron, OH",3928,0.75,28949,2016
"Albany, GA",2404,0.75,1300,2003
"Albany, GA",665,0.5,1300,2003
"Albany, GA",7143,0.9,1300,2003
"Albany, GA",3678,mean,1300,2003
"Albany, GA",140,0.25,1300,2003
"Albany, GA",8534,0.9,1508,2004
"Albany, GA",790,0.5,1508,2004
"Albany, GA",2728,0.75,1508,2004
"Albany, GA",175,0.25,1508,2004
"Albany, GA",3841,mean,1508,2004
"Albany, GA",163,0.25,1836,2005
"Albany, GA",889,0.5,1836,2005
"Albany, GA",8578,0.9,1836,2005
"Albany, GA",3138,0.75,1836,2005
"Albany, GA",3676,mean,1836,2005
"Albany, GA",3303,0.75,1687,2006
"Albany, GA",9927,0.9,1687,2006
"Albany, GA",143,0.25,1687,2006
"Albany, GA",898,0.5,1687,2006
"Albany, GA",4097,mean,1687,2006
"Albany, GA",10491,0.9,1729,2007
"Albany, GA",232,0.25,1729,2007
"Albany, GA",3218,0.75,1729,2007
"Albany, GA",4517,mean,1729,2007
"Albany, GA",959,0.5,1729,2007
"Albany, GA",995,0.5,1742,2008
"Albany, GA",200,0.25,1742,2008
"Albany, GA",5094,mean,1742,2008
"Albany, GA",3405,0.75,1742,2008
"Albany, GA",10358,0.9,1742,2008
"Albany, GA",238,0.25,1785,2009
"Albany, GA",3871,0.75,1785,2009
"Albany, GA",1091,0.5,1785,2009
"Albany, GA",4943,mean,1785,2009
"Albany, GA",11153,0.9,1785,2009
"Albany, GA",12645,0.9,1735,2010
"Albany, GA",268,0.25,1735,2010
"Albany, GA",3977,0.75,1735,2010
"Albany, GA",6207,mean,1735,2010
"Albany, GA",1038,0.5,1735,2010
"Albany, GA",1085,0.5,1698,2011
"Albany, GA",15196,0.9,1698,2011
"Albany, GA",3749,0.75,1698,2011
"Albany, GA",7255,mean,1698,2011
"Albany, GA",263,0.25,1698,2011
"Albany, GA",293,0.25,1605,2012
"Albany, GA",1142,0.5,1605,2012
"Albany, GA",6078,mean,1605,2012
"Albany, GA",12163,0.9,1605,2012
"Albany, GA",3951,0.75,1605,2012
"Albany, GA",11691,0.9,1551,2013
"Albany, GA",3807,0.75,1551,2013
"Albany, GA",987,0.5,1551,2013
"Albany, GA",5066,mean,1551,2013
"Albany, GA",265,0.25,1551,2013
"Albany, GA",241,0.25,15186,2014
"Albany, GA",5560,mean,15186,2014
"Albany, GA",938,0.5,15186,2014
"Albany, GA",11229,0.9,15186,2014
"Albany, GA",3371,0.75,15186,2014
"Albany, GA",918,0.5,15259,2015
"Albany, GA",218,0.25,15259,2015
"Albany, GA",3518,0.75,15259,2015
"Albany, GA",11725,0.9,15259,2015
"Albany, GA",5464,mean,15259,2015
"Albany, GA",221,0.25,14480,2016
"Albany, GA",970,0.5,14480,2016
"Albany, GA",6023,mean,14480,2016
"Albany, GA",12219,0.9,14480,2016
"Albany, GA",3701,0.75,14480,2016
"Albany, OR",1005,0.5,7815,2014
"Albany, OR",222,0.25,7815,2014
"Albany, OR",3233,0.75,7815,2014
"Albany, OR",4791,mean,7815,2014
"Albany, OR",9820,0.9,7815,2014
"Albany, OR",247,0.25,7508,2015
"Albany, OR",5372,mean,7508,2015
"Albany, OR",1132,0.5,7508,2015
"Albany, OR",3545,0.75,7508,2015
"Albany, OR",11186,0.9,7508,2015
"Albany, OR",279,0.25,7789,2016
"Albany, OR",3632,0.75,7789,2016
"Albany, OR",1161,0.5,7789,2016
"Albany, OR",11143,0.9,7789,2016
"Albany, OR",5348,mean,7789,2016
"Albany-Schenectady-Troy, NY",5111,0.9,809,2003
"Albany-Schenectady-Troy, NY",544,0.5,809,2003
"Albany-Schenectady-Troy, NY",2116,0.75,809,2003
"Albany-Schenectady-Troy, NY",93,0.25,809,2003
"Albany-Schenectady-Troy, NY",3490,mean,809,2003
"Albany-Schenectady-Troy, NY",140,0.25,709,2004
"Albany-Schenectady-Troy, NY",8051,0.9,709,2004
"Albany-Schenectady-Troy, NY",2918,0.75,709,2004
"Albany-Schenectady-Troy, NY",912,0.5,709,2004
"Albany-Schenectady-Troy, NY",4198,mean,709,2004
"Albany-Schenectady-Troy, NY",2476,0.75,1033,2005
"Albany-Schenectady-Troy, NY",174,0.25,1033,2005
"Albany-Schenectady-Troy, NY",6241,0.9,1033,2005
"Albany-Schenectady-Troy, NY",861,0.5,1033,2005
"Albany-Schenectady-Troy, NY",3458,mean,1033,2005
"Albany-Schenectady-Troy, NY",2388,0.75,1193,2006
"Albany-Schenectady-Troy, NY",820,0.5,1193,2006
"Albany-Schenectady-Troy, NY",3111,mean,1193,2006
"Albany-Schenectady-Troy, NY",6259,0.9,1193,2006
"Albany-Schenectady-Troy, NY",175,0.25,1193,2006
"Albany-Schenectady-Troy, NY",7075,0.9,1272,2007
"Albany-Schenectady-Troy, NY",3208,mean,1272,2007
"Albany-Schenectady-Troy, NY",2810,0.75,1272,2007
"Albany-Schenectady-Troy, NY",239,0.25,1272,2007
"Albany-Schenectady-Troy, NY",1016,0.5,1272,2007
"Albany-Schenectady-Troy, NY",3192,0.75,1463,2008
"Albany-Schenectady-Troy, NY",8390,0.9,1463,2008
"Albany-Schenectady-Troy, NY",4076,mean,1463,2008
"Albany-Schenectady-Troy, NY",202,0.25,1463,2008
"Albany-Schenectady-Troy, NY",980,0.5,1463,2008
"Albany-Schenectady-Troy, NY",248,0.25,1842,2009
"Albany-Schenectady-Troy, NY",927,0.5,1842,2009
"Albany-Schenectady-Troy, NY",3215,0.75,1842,2009
"Albany-Schenectady-Troy, NY",8161,0.9,1842,2009
"Albany-Schenectady-Troy, NY",3716,mean,1842,2009
"Albany-Schenectady-Troy, NY",2811,0.75,2971,2010
"Albany-Schenectady-Troy, NY",885,0.5,2971,2010
"Albany-Schenectady-Troy, NY",3840,mean,2971,2010
"Albany-Schenectady-Troy, NY",7562,0.9,2971,2010
"Albany-Schenectady-Troy, NY",232,0.25,2971,2010
"Albany-Schenectady-Troy, NY",7937,0.9,2993,2011
"Albany-Schenectady-Troy, NY",239,0.25,2993,2011
"Albany-Schenectady-Troy, NY",859,0.5,2993,2011
"Albany-Schenectady-Troy, NY",3968,mean,2993,2011
"Albany-Schenectady-Troy, NY",2873,0.75,2993,2011
"Albany-Schenectady-Troy, NY",1054,0.5,2628,2012
"Albany-Schenectady-Troy, NY",9182,0.9,2628,2012
"Albany-Schenectady-Troy, NY",4085,mean,2628,2012
"Albany-Schenectady-Troy, NY",3181,0.75,2628,2012
"Albany-Schenectady-Troy, NY",276,0.25,2628,2012
"Albany-Schenectady-Troy, NY",895,0.5,3393,2013
"Albany-Schenectady-Troy, NY",8254,0.9,3393,2013
"Albany-Schenectady-Troy, NY",273,0.25,3393,2013
"Albany-Schenectady-Troy, NY",4127,mean,3393,2013
"Albany-Schenectady-Troy, NY",2939,0.75,3393,2013
"Albany-Schenectady-Troy, NY",338,0.25,86553,2014
"Albany-Schenectady-Troy, NY",3790,0.75,86553,2014
"Albany-Schenectady-Troy, NY",10306,0.9,86553,2014
"Albany-Schenectady-Troy, NY",5120,mean,86553,2014
"Albany-Schenectady-Troy, NY",1204,0.5,86553,2014
"Albany-Schenectady-Troy, NY",5490,mean,86677,2015
"Albany-Schenectady-Troy, NY",4051,0.75,86677,2015
"Albany-Schenectady-Troy, NY",1278,0.5,86677,2015
"Albany-Schenectady-Troy, NY",358,0.25,86677,2015
"Albany-Schenectady-Troy, NY",11299,0.9,86677,2015
"Albany-Schenectady-Troy, NY",369,0.25,86604,2016
"Albany-Schenectady-Troy, NY",6039,mean,86604,2016
"Albany-Schenectady-Troy, NY",12036,0.9,86604,2016
"Albany-Schenectady-Troy, NY",1297,0.5,86604,2016
"Albany-Schenectady-Troy, NY",4193,0.75,86604,2016
"Albuquerque, NM",2089,mean,388,2003
"Albuquerque, NM",5072,0.9,388,2003
"Albuquerque, NM",88,0.25,388,2003
"Albuquerque, NM",1758,0.75,388,2003
"Albuquerque, NM",544,0.5,388,2003
"Albuquerque, NM",395,0.5,516,2004
"Albuquerque, NM",1919,mean,516,2004
"Albuquerque, NM",4610,0.9,516,2004
"Albuquerque, NM",1520,0.75,516,2004
"Albuquerque, NM",71,0.25,516,2004
"Albuquerque, NM",5642,0.9,923,2005
"Albuquerque, NM",2357,mean,923,2005
"Albuquerque, NM",92,0.25,923,2005
"Albuquerque, NM",1839,0.75,923,2005
"Albuquerque, NM",502,0.5,923,2005
"Albuquerque, NM",661,0.5,1159,2006
"Albuquerque, NM",2301,0.75,1159,2006
"Albuquerque, NM",117,0.25,1159,2006
"Albuquerque, NM",6306,0.9,1159,2006
"Albuquerque, NM",2900,mean,1159,2006
"Albuquerque, NM",2283,0.75,1284,2007
"Albuquerque, NM",6328,0.9,1284,2007
"Albuquerque, NM",137,0.25,1284,2007
"Albuquerque, NM",2742,mean,1284,2007
"Albuquerque, NM",686,0.5,1284,2007
"Albuquerque, NM",2062,0.75,1570,2008
"Albuquerque, NM",2691,mean,1570,2008
"Albuquerque, NM",98,0.25,1570,2008
"Albuquerque, NM",592,0.5,1570,2008
"Albuquerque, NM",6156,0.9,1570,2008
"Albuquerque, NM",2662,0.75,2546,2009
"Albuquerque, NM",7732,0.9,2546,2009
"Albuquerque, NM",149,0.25,2546,2009
"Albuquerque, NM",3311,mean,2546,2009
"Albuquerque, NM",704,0.5,2546,2009
"Albuquerque, NM",158,0.25,2762,2010
"Albuquerque, NM",761,0.5,2762,2010
"Albuquerque, NM",8648,0.9,2762,2010
"Albuquerque, NM",2637,0.75,2762,2010
"Albuquerque, NM",3786,mean,2762,2010
"Albuquerque, NM",2645,0.75,2745,2011
"Albuquerque, NM",143,0.25,2745,2011
"Albuquerque, NM",4362,mean,2745,2011
"Albuquerque, NM",670,0.5,2745,2011
"Albuquerque, NM",8585,0.9,2745,2011
"Albuquerque, NM",778,0.5,2822,2012
"Albuquerque, NM",183,0.25,2822,2012
"Albuquerque, NM",2690,0.75,2822,2012
"Albuquerque, NM",9023,0.9,2822,2012
"Albuquerque, NM",5395,mean,2822,2012
"Albuquerque, NM",163,0.25,2238,2013
"Albuquerque, NM",5704,mean,2238,2013
"Albuquerque, NM",11855,0.9,2238,2013
"Albuquerque, NM",3102,0.75,2238,2013
"Albuquerque, NM",785,0.5,2238,2013
"Albuquerque, NM",2737,0.75,19490,2014
"Albuquerque, NM",735,0.5,19490,2014
"Albuquerque, NM",157,0.25,19490,2014
"Albuquerque, NM",9243,0.9,19490,2014
"Albuquerque, NM",4355,mean,19490,2014
"Albuquerque, NM",153,0.25,18223,2015
"Albuquerque, NM",4671,mean,18223,2015
"Albuquerque, NM",759,0.5,18223,2015
"Albuquerque, NM",10219,0.9,18223,2015
"Albuquerque, NM",2922,0.75,18223,2015
"Albuquerque, NM",10020,0.9,19379,2016
"Albuquerque, NM",153,0.25,19379,2016
"Albuquerque, NM",2899,0.75,19379,2016
"Albuquerque, NM",4858,mean,19379,2016
"Albuquerque, NM",764,0.5,19379,2016
"Alexandria, LA",11401,0.9,254,2003
"Alexandria, LA",281,0.25,254,2003
"Alexandria, LA",4442,0.75,254,2003
"Alexandria, LA",3987,mean,254,2003
"Alexandria, LA",1227,0.5,254,2003
"Alexandria, LA",277,0.25,305,2004
"Alexandria, LA",4173,0.75,305,2004
"Alexandria, LA",9554,0.9,305,2004
"Alexandria, LA",3794,mean,305,2004
"Alexandria, LA",1211,0.5,305,2004
"Alexandria, LA",9170,0.9,364,2005
"Alexandria, LA",276,0.25,364,2005
"Alexandria, LA",3448,mean,364,2005
"Alexandria, LA",1129,0.5,364,2005
"Alexandria, LA",3994,0.75,364,2005
"Alexandria, LA",3863,mean,176,2006
"Alexandria, LA",4218,0.75,176,2006
"Alexandria, LA",826,0.5,176,2006
"Alexandria, LA",9215,0.9,176,2006
"Alexandria, LA",104,0.25,176,2006
"Alexandria, LA",202,0.25,171,2007
"Alexandria, LA",1221,0.5,171,2007
"Alexandria, LA",4691,0.75,171,2007
"Alexandria, LA",3782,mean,171,2007
"Alexandria, LA",10350,0.9,171,2007
"Alexandria, LA",4102,0.75,212,2008
"Alexandria, LA",9532,0.9,212,2008
"Alexandria, LA",1338,0.5,212,2008
"Alexandria, LA",4092,mean,212,2008
"Alexandria, LA",248,0.25,212,2008
"Alexandria, LA",1343,0.5,216,2009
"Alexandria, LA",8786,0.9,216,2009
"Alexandria, LA",268,0.25,216,2009
"Alexandria, LA",3404,mean,216,2009
"Alexandria, LA",3634,0.75,216,2009
"Alexandria, LA",4200,mean,234,2010
"Alexandria, LA",4684,0.75,234,2010
"Alexandria, LA",1549,0.5,234,2010
"Alexandria, LA",12416,0.9,234,2010
"Alexandria, LA",319,0.25,234,2010
"Alexandria, LA",4646,mean,403,2011
"Alexandria, LA",307,0.25,403,2011
"Alexandria, LA",5871,0.75,403,2011
"Alexandria, LA",1462,0.5,403,2011
"Alexandria, LA",12447,0.9,403,2011
"Alexandria, LA",373,0.25,426,2012
"Alexandria, LA",15309,0.9,426,2012
"Alexandria, LA",5872,0.75,426,2012
"Alexandria, LA",6223,mean,426,2012
"Alexandria, LA",1558,0.5,426,2012
"Alexandria, LA",4722,mean,428,2013
"Alexandria, LA",1329,0.5,428,2013
"Alexandria, LA",4949,0.75,428,2013
"Alexandria, LA",293,0.25,428,2013
"Alexandria, LA",13424,0.9,428,2013
"Alexandria, LA",4604,0.75,3816,2014
"Alexandria, LA",14299,0.9,3816,2014
"Alexandria, LA",5795,mean,3816,2014
"Alexandria, LA",1231,0.5,3816,2014
"Alexandria, LA",304,0.25,3816,2014
"Alexandria, LA",5076,0.75,3850,2015
"Alexandria, LA",1334,0.5,3850,2015
"Alexandria, LA",15433,0.9,3850,2015
"Alexandria, LA",6779,mean,3850,2015
"Alexandria, LA",309,0.25,3850,2015
"Alexandria, LA",14077,0.9,3697,2016
"Alexandria, LA",4933,0.75,3697,2016
"Alexandria, LA",318,0.25,3697,2016
"Alexandria, LA",5664,mean,3697,2016
"Alexandria, LA",1250,0.5,3697,2016
"Allentown-Bethlehem-Easton, PA",3668,mean,338,2003
"Allentown-Bethlehem-Easton, PA",7164,0.9,338,2003
"Allentown-Bethlehem-Easton, PA",820,0.5,338,2003
"Allentown-Bethlehem-Easton, PA",3309,0.75,338,2003
"Allentown-Bethlehem-Easton, PA",134,0.25,338,2003
"Allentown-Bethlehem-Easton, PA",9016,0.9,684,2004
"Allentown-Bethlehem-Easton, PA",774,0.5,684,2004
"Allentown-Bethlehem-Easton, PA",3080,0.75,684,2004
"Allentown-Bethlehem-Easton, PA",166,0.25,684,2004
"Allentown-Bethlehem-Easton, PA",3421,mean,684,2004
"Allentown-Bethlehem-Easton, PA-NJ",7912,0.9,1466,2005
"Allentown-Bethlehem-Easton, PA-NJ",165,0.25,1466,2005
"Allentown-Bethlehem-Easton, PA-NJ",772,0.5,1466,2005
"Allentown-Bethlehem-Easton, PA-NJ",4092,mean,1466,2005
"Allentown-Bethlehem-Easton, PA-NJ",3106,0.75,1466,2005
"Allentown-Bethlehem-Easton, PA-NJ",215,0.25,1715,2006
"Allentown-Bethlehem-Easton, PA-NJ",3558,mean,1715,2006
"Allentown-Bethlehem-Easton, PA-NJ",2954,0.75,1715,2006
"Allentown-Bethlehem-Easton, PA-NJ",7960,0.9,1715,2006
"Allentown-Bethlehem-Easton, PA-NJ",884,0.5,1715,2006
"Allentown-Bethlehem-Easton, PA-NJ",214,0.25,1859,2007
"Allentown-Bethlehem-Easton, PA-NJ",980,0.5,1859,2007
"Allentown-Bethlehem-Easton, PA-NJ",8936,0.9,1859,2007
"Allentown-Bethlehem-Easton, PA-NJ",3482,mean,1859,2007
"Allentown-Bethlehem-Easton, PA-NJ",2986,0.75,1859,2007
"Allentown-Bethlehem-Easton, PA-NJ",10003,0.9,2605,2008
"Allentown-Bethlehem-Easton, PA-NJ",264,0.25,2605,2008
"Allentown-Bethlehem-Easton, PA-NJ",4135,mean,2605,2008
"Allentown-Bethlehem-Easton, PA-NJ",1081,0.5,2605,2008
"Allentown-Bethlehem-Easton, PA-NJ",3650,0.75,2605,2008
"Allentown-Bethlehem-Easton, PA-NJ",244,0.25,2825,2009
"Allentown-Bethlehem-Easton, PA-NJ",3539,0.75,2825,2009
"Allentown-Bethlehem-Easton, PA-NJ",1053,0.5,2825,2009
"Allentown-Bethlehem-Easton, PA-NJ",10596,0.9,2825,2009
"Allentown-Bethlehem-Easton, PA-NJ",4425,mean,2825,2009
"Allentown-Bethlehem-Easton, PA-NJ",217,0.25,3091,2010
"Allentown-Bethlehem-Easton, PA-NJ",4133,mean,3091,2010
"Allentown-Bethlehem-Easton, PA-NJ",3449,0.75,3091,2010
"Allentown-Bethlehem-Easton, PA-NJ",965,0.5,3091,2010
"Allentown-Bethlehem-Easton, PA-NJ",9501,0.9,3091,2010
"Allentown-Bethlehem-Easton, PA-NJ",1022,0.5,3137,2011
"Allentown-Bethlehem-Easton, PA-NJ",245,0.25,3137,2011
"Allentown-Bethlehem-Easton, PA-NJ",10018,0.9,3137,2011
"Allentown-Bethlehem-Easton, PA-NJ",4559,mean,3137,2011
"Allentown-Bethlehem-Easton, PA-NJ",3596,0.75,3137,2011
"Allentown-Bethlehem-Easton, PA-NJ",10928,0.9,3323,2012
"Allentown-Bethlehem-Easton, PA-NJ",1033,0.5,3323,2012
"Allentown-Bethlehem-Easton, PA-NJ",5250,mean,3323,2012
"Allentown-Bethlehem-Easton, PA-NJ",274,0.25,3323,2012
"Allentown-Bethlehem-Easton, PA-NJ",3668,0.75,3323,2012
"Allentown-Bethlehem-Easton, PA-NJ",263,0.25,3198,2013
"Allentown-Bethlehem-Easton, PA-NJ",3461,0.75,3198,2013
"Allentown-Bethlehem-Easton, PA-NJ",1008,0.5,3198,2013
"Allentown-Bethlehem-Easton, PA-NJ",11245,0.9,3198,2013
"Allentown-Bethlehem-Easton, PA-NJ",5032,mean,3198,2013
"Allentown-Bethlehem-Easton, PA-NJ",11488,0.9,29528,2014
"Allentown-Bethlehem-Easton, PA-NJ",1022,0.5,29528,2014
"Allentown-Bethlehem-Easton, PA-NJ",3690,0.75,29528,2014
"Allentown-Bethlehem-Easton, PA-NJ",243,0.25,29528,2014
"Allentown-Bethlehem-Easton, PA-NJ",5469,mean,29528,2014
"Allentown-Bethlehem-Easton, PA-NJ",1082,0.5,32262,2015
"Allentown-Bethlehem-Easton, PA-NJ",265,0.25,32262,2015
"Allentown-Bethlehem-Easton, PA-NJ",3877,0.75,32262,2015
"Allentown-Bethlehem-Easton, PA-NJ",11824,0.9,32262,2015
"Allentown-Bethlehem-Easton, PA-NJ",5569,mean,32262,2015
"Allentown-Bethlehem-Easton, PA-NJ",273,0.25,32750,2016
"Allentown-Bethlehem-Easton, PA-NJ",5808,mean,32750,2016
"Allentown-Bethlehem-Easton, PA-NJ",1071,0.5,32750,2016
"Allentown-Bethlehem-Easton, PA-NJ",11837,0.9,32750,2016
"Allentown-Bethlehem-Easton, PA-NJ",3837,0.75,32750,2016
"Altoona, PA",2205,0.75,63,2003
"Altoona, PA",4622,mean,63,2003
"Altoona, PA",53,0.25,63,2003
"Altoona, PA",7562,0.9,63,2003
"Altoona, PA",716,0.5,63,2003
"Altoona, PA",3122,0.75,84,2004
"Altoona, PA",114,0.25,84,2004
